size, block_size, success, time
5, 5, 0.260000, 0.000417
5, 7, 0.150000, 0.000516
5, 9, 0.150000, 0.000620
5, 11, 0.250000, 0.000722
5, 13, 0.320000, 0.000787
5, 15, 0.070000, 0.000954
5, 17, 0.260000, 0.000939
5, 19, 0.310000, 0.001030
5, 21, 0.080000, 0.001254
5, 23, 0.270000, 0.001182
5, 25, 0.260000, 0.001252
5, 27, 0.070000, 0.001529
5, 29, 0.280000, 0.001458
5, 31, 0.210000, 0.001517
5, 33, 0.120000, 0.001707
5, 35, 0.200000, 0.001946
5, 37, 0.240000, 0.001865
5, 39, 0.100000, 0.002145
5, 41, 0.270000, 0.002071
5, 43, 0.210000, 0.002141
5, 45, 0.070000, 0.002497
5, 47, 0.310000, 0.002390
5, 49, 0.110000, 0.002543
5, 51, 0.150000, 0.002730
5, 53, 0.260000, 0.002571
7, 5, 0.340000, 0.000842
7, 7, 0.120000, 0.001029
7, 9, 0.160000, 0.001247
7, 11, 0.290000, 0.001305
7, 13, 0.350000, 0.001441
7, 15, 0.060000, 0.001724
7, 17, 0.310000, 0.001699
7, 19, 0.270000, 0.001898
7, 21, 0.040000, 0.002112
7, 23, 0.290000, 0.002146
7, 25, 0.270000, 0.002381
7, 27, 0.140000, 0.002615
7, 29, 0.330000, 0.002609
7, 31, 0.210000, 0.002863
7, 33, 0.100000, 0.003266
7, 35, 0.100000, 0.003520
7, 37, 0.290000, 0.003536
7, 39, 0.130000, 0.003980
7, 41, 0.350000, 0.003692
7, 43, 0.310000, 0.003774
7, 45, 0.040000, 0.003806
7, 47, 0.310000, 0.004171
7, 49, 0.160000, 0.004735
7, 51, 0.120000, 0.004657
7, 53, 0.280000, 0.004790
9, 5, 0.200000, 0.001511
9, 7, 0.140000, 0.001749
9, 9, 0.120000, 0.002038
9, 11, 0.260000, 0.002246
9, 13, 0.340000, 0.002435
9, 15, 0.030000, 0.002931
9, 17, 0.240000, 0.002831
9, 19, 0.330000, 0.003146
9, 21, 0.020000, 0.003683
9, 23, 0.390000, 0.003516
9, 25, 0.230000, 0.003988
9, 27, 0.130000, 0.004347
9, 29, 0.240000, 0.004209
9, 31, 0.200000, 0.004560
9, 33, 0.080000, 0.005487
9, 35, 0.090000, 0.005498
9, 37, 0.250000, 0.005608
9, 39, 0.150000, 0.006575
9, 41, 0.340000, 0.006145
9, 43, 0.250000, 0.006376
9, 45, 0.060000, 0.007394
9, 47, 0.310000, 0.006577
9, 49, 0.140000, 0.007469
9, 51, 0.080000, 0.008321
9, 53, 0.250000, 0.007796
11, 5, 0.220000, 0.002420
11, 7, 0.150000, 0.002848
11, 9, 0.100000, 0.003161
11, 11, 0.360000, 0.003497
11, 13, 0.210000, 0.003713
11, 15, 0.030000, 0.004558
11, 17, 0.290000, 0.004453
11, 19, 0.300000, 0.004734
11, 21, 0.010000, 0.005330
11, 23, 0.280000, 0.005623
11, 25, 0.270000, 0.005926
11, 27, 0.100000, 0.006402
11, 29, 0.350000, 0.006385
11, 31, 0.160000, 0.006837
11, 33, 0.140000, 0.008499
11, 35, 0.100000, 0.009158
11, 37, 0.190000, 0.008384
11, 39, 0.140000, 0.009697
11, 41, 0.310000, 0.009345
11, 43, 0.270000, 0.009778
11, 45, 0.040000, 0.010783
11, 47, 0.280000, 0.010873
11, 49, 0.130000, 0.011619
11, 51, 0.120000, 0.012288
11, 53, 0.260000, 0.011543
13, 5, 0.250000, 0.003713
13, 7, 0.160000, 0.004253
13, 9, 0.080000, 0.004918
13, 11, 0.230000, 0.005255
13, 13, 0.240000, 0.005591
13, 15, 0.030000, 0.006063
13, 17, 0.160000, 0.006553
13, 19, 0.260000, 0.007033
13, 21, 0.050000, 0.008129
13, 23, 0.290000, 0.007915
13, 25, 0.170000, 0.008471
13, 27, 0.110000, 0.009440
13, 29, 0.330000, 0.009369
13, 31, 0.150000, 0.009961
13, 33, 0.140000, 0.012117
13, 35, 0.060000, 0.012110
13, 37, 0.280000, 0.012571
13, 39, 0.160000, 0.013346
13, 41, 0.270000, 0.013576
13, 43, 0.320000, 0.014160
13, 45, 0.040000, 0.015760
13, 47, 0.320000, 0.015098
13, 49, 0.120000, 0.016182
13, 51, 0.110000, 0.017507
13, 53, 0.320000, 0.016948
15, 5, 0.260000, 0.005245
15, 7, 0.130000, 0.006123
15, 9, 0.050000, 0.006758
15, 11, 0.300000, 0.007332
15, 13, 0.310000, 0.007892
15, 15, 0.060000, 0.009006
15, 17, 0.250000, 0.009329
15, 19, 0.250000, 0.009722
15, 21, 0.020000, 0.011374
15, 23, 0.280000, 0.011127
15, 25, 0.200000, 0.011783
15, 27, 0.080000, 0.013346
15, 29, 0.290000, 0.013019
15, 31, 0.160000, 0.014126
15, 33, 0.080000, 0.016984
15, 35, 0.100000, 0.017687
15, 37, 0.250000, 0.017482
15, 39, 0.150000, 0.019273
15, 41, 0.220000, 0.018767
15, 43, 0.250000, 0.020100
15, 45, 0.080000, 0.021876
15, 47, 0.410000, 0.020918
15, 49, 0.110000, 0.022745
15, 51, 0.110000, 0.024385
15, 53, 0.310000, 0.023642
17, 5, 0.200000, 0.007307
17, 7, 0.110000, 0.008376
17, 9, 0.110000, 0.009426
17, 11, 0.300000, 0.009969
17, 13, 0.290000, 0.010834
17, 15, 0.050000, 0.012307
17, 17, 0.330000, 0.012456
17, 19, 0.310000, 0.013335
17, 21, 0.050000, 0.015962
17, 23, 0.270000, 0.014948
17, 25, 0.220000, 0.015829
17, 27, 0.120000, 0.017817
17, 29, 0.370000, 0.017765
17, 31, 0.140000, 0.018677
17, 33, 0.060000, 0.022790
17, 35, 0.150000, 0.024341
17, 37, 0.350000, 0.023720
17, 39, 0.100000, 0.025804
17, 41, 0.230000, 0.026084
17, 43, 0.300000, 0.026926
17, 45, 0.060000, 0.029968
17, 47, 0.370000, 0.028452
17, 49, 0.140000, 0.030710
17, 51, 0.060000, 0.031636
17, 53, 0.340000, 0.032382
19, 5, 0.250000, 0.009638
19, 7, 0.140000, 0.011257
19, 9, 0.060000, 0.012134
19, 11, 0.320000, 0.013217
19, 13, 0.270000, 0.014274
19, 15, 0.070000, 0.016225
19, 17, 0.250000, 0.016542
19, 19, 0.370000, 0.017468
19, 21, 0.030000, 0.020120
19, 23, 0.250000, 0.019475
19, 25, 0.180000, 0.021047
19, 27, 0.100000, 0.023608
19, 29, 0.350000, 0.023158
19, 31, 0.160000, 0.024305
19, 33, 0.120000, 0.029735
19, 35, 0.090000, 0.031089
19, 37, 0.270000, 0.031301
19, 39, 0.120000, 0.034048
19, 41, 0.280000, 0.033741
19, 43, 0.320000, 0.035029
19, 45, 0.040000, 0.038421
19, 47, 0.310000, 0.038006
19, 49, 0.170000, 0.040953
19, 51, 0.050000, 0.043601
19, 53, 0.330000, 0.042013
21, 5, 0.200000, 0.012553
21, 7, 0.140000, 0.014333
21, 9, 0.080000, 0.016169
21, 11, 0.290000, 0.017178
21, 13, 0.270000, 0.018525
21, 15, 0.080000, 0.021177
21, 17, 0.330000, 0.021187
21, 19, 0.330000, 0.022835
21, 21, 0.000000, -1.#IND00
21, 23, 0.180000, 0.025419
21, 25, 0.200000, 0.027208
21, 27, 0.070000, 0.029992
21, 29, 0.280000, 0.029559
21, 31, 0.150000, 0.031719
21, 33, 0.110000, 0.037802
21, 35, 0.110000, 0.040208
21, 37, 0.310000, 0.040202
21, 39, 0.110000, 0.044513
21, 41, 0.270000, 0.043799
21, 43, 0.310000, 0.045741
21, 45, 0.080000, 0.050523
21, 47, 0.260000, 0.048810
21, 49, 0.120000, 0.052304
21, 51, 0.120000, 0.055281
21, 53, 0.290000, 0.054051
23, 5, 0.280000, 0.016092
23, 7, 0.100000, 0.018431
23, 9, 0.110000, 0.020544
23, 11, 0.230000, 0.021951
