size, block_size, success
5, 5, 0.180000
5, 7, 0.100000
5, 9, 0.080000
5, 11, 0.180000
5, 13, 0.280000
5, 15, 0.080000
5, 17, 0.180000
5, 19, 0.340000
5, 21, 0.060000
5, 23, 0.340000
5, 25, 0.180000
5, 27, 0.140000
5, 29, 0.280000
7, 5, 0.280000
7, 7, 0.120000
7, 9, 0.100000
7, 11, 0.240000
7, 13, 0.260000
7, 15, 0.040000
7, 17, 0.340000
7, 19, 0.260000
7, 21, 0.040000
7, 23, 0.180000
7, 25, 0.240000
7, 27, 0.100000
7, 29, 0.280000
9, 5, 0.120000
9, 7, 0.140000
9, 9, 0.040000
9, 11, 0.260000
9, 13, 0.260000
9, 15, 0.040000
9, 17, 0.200000
9, 19, 0.320000
9, 21, 0.020000
9, 23, 0.300000
9, 25, 0.220000
9, 27, 0.160000
9, 29, 0.280000
11, 5, 0.160000
11, 7, 0.180000
11, 9, 0.080000
11, 11, 0.340000
11, 13, 0.240000
11, 15, 0.080000
11, 17, 0.340000
11, 19, 0.260000
11, 21, 0.020000
11, 23, 0.300000
11, 25, 0.220000
11, 27, 0.080000
11, 29, 0.280000
13, 5, 0.280000
13, 7, 0.060000
13, 9, 0.120000
13, 11, 0.320000
13, 13, 0.320000
13, 15, 0.040000
13, 17, 0.420000
13, 19, 0.180000
13, 21, 0.020000
13, 23, 0.280000
13, 25, 0.320000
13, 27, 0.100000
13, 29, 0.300000
15, 5, 0.200000
15, 7, 0.100000
15, 9, 0.100000
15, 11, 0.340000
15, 13, 0.280000
15, 15, 0.060000
15, 17, 0.120000
15, 19, 0.220000
15, 21, 0.040000
15, 23, 0.280000
15, 25, 0.180000
15, 27, 0.120000
15, 29, 0.300000
17, 5, 0.260000
17, 7, 0.120000
17, 9, 0.120000
17, 11, 0.280000
17, 13, 0.340000
17, 15, 0.060000
17, 17, 0.260000
17, 19, 0.320000
17, 21, 0.040000
17, 23, 0.180000
17, 25, 0.320000
17, 27, 0.080000
17, 29, 0.340000
19, 5, 0.360000
19, 7, 0.240000
19, 9, 0.060000
19, 11, 0.240000
19, 13, 0.240000
19, 15, 0.020000
19, 17, 0.300000
19, 19, 0.180000
19, 21, 0.020000
19, 23, 0.380000
19, 25, 0.260000
19, 27, 0.060000
19, 29, 0.320000
21, 5, 0.180000
21, 7, 0.140000
21, 9, 0.120000
21, 11, 0.300000
21, 13, 0.380000
21, 15, 0.000000
21, 17, 0.260000
21, 19, 0.300000
21, 21, 0.040000
21, 23, 0.180000
21, 25, 0.240000
21, 27, 0.080000
21, 29, 0.260000
23, 5, 0.280000
23, 7, 0.120000
23, 9, 0.120000
23, 11, 0.300000
23, 13, 0.300000
23, 15, 0.000000
23, 17, 0.320000
23, 19, 0.240000
23, 21, 0.000000
23, 23, 0.360000
23, 25, 0.220000
23, 27, 0.100000
23, 29, 0.360000
25, 5, 0.240000
25, 7, 0.100000
25, 9, 0.120000
25, 11, 0.320000
25, 13, 0.120000
25, 15, 0.040000
25, 17, 0.280000
25, 19, 0.320000
25, 21, 0.040000
25, 23, 0.240000
25, 25, 0.280000
25, 27, 0.040000
25, 29, 0.380000
27, 5, 0.140000
27, 7, 0.160000
27, 9, 0.060000
27, 11, 0.380000
27, 13, 0.280000
27, 15, 0.060000
27, 17, 0.340000
27, 19, 0.240000
27, 21, 0.040000
27, 23, 0.320000
27, 25, 0.180000
27, 27, 0.060000
27, 29, 0.320000
29, 5, 0.260000
29, 7, 0.140000
29, 9, 0.160000
29, 11, 0.280000
29, 13, 0.320000
29, 15, 0.060000
29, 17, 0.320000
29, 19, 0.300000
29, 21, 0.020000
29, 23, 0.320000
29, 25, 0.280000
29, 27, 0.140000
29, 29, 0.280000





size, block_size, success
5, 5, 0.190000
5, 7, 0.100000
5, 9, 0.080000
5, 11, 0.320000
5, 13, 0.270000
5, 15, 0.090000
5, 17, 0.280000
5, 19, 0.250000
5, 21, 0.050000
5, 23, 0.310000
5, 25, 0.200000
5, 27, 0.090000
5, 29, 0.300000
5, 31, 0.200000
5, 33, 0.170000
5, 35, 0.120000
5, 37, 0.310000
5, 39, 0.120000
5, 41, 0.280000
5, 43, 0.330000
5, 45, 0.070000
5, 47, 0.420000
5, 49, 0.200000
5, 51, 0.100000
5, 53, 0.330000
7, 5, 0.150000
7, 7, 0.090000
7, 9, 0.110000
7, 11, 0.280000
7, 13, 0.330000
7, 15, 0.030000
7, 17, 0.220000
7, 19, 0.290000
7, 21, 0.050000
7, 23, 0.330000
7, 25, 0.180000
7, 27, 0.120000
7, 29, 0.330000
7, 31, 0.180000
7, 33, 0.060000
7, 35, 0.100000
7, 37, 0.340000
7, 39, 0.120000
7, 41, 0.350000
7, 43, 0.280000
7, 45, 0.100000
7, 47, 0.300000
7, 49, 0.170000
7, 51, 0.100000
7, 53, 0.300000
9, 5, 0.220000
9, 7, 0.120000
9, 9, 0.080000
9, 11, 0.230000
9, 13, 0.320000
9, 15, 0.050000
9, 17, 0.250000
9, 19, 0.280000
9, 21, 0.040000
9, 23, 0.290000
9, 25, 0.220000
9, 27, 0.080000
9, 29, 0.260000
9, 31, 0.150000
